@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
134,6,13,10,0,2,?
30,0,2,0,0,0,?
52,2,4,1,0,0,?
34,0,0,0,0,0,?
62,1,3,10,0,0,?
74,6,4,10,0,3,?
34,1,1,1,0,0,?
99,7,6,72,0,0,?
112,9,3,37,0,2,?
118,4,2,16,0,0,?
90,3,9,4,0,0,?
39,1,2,0,0,0,?
63,0,6,0,0,0,?
175,38,9,89,0,6,?
36,0,0,0,0,0,?
71,5,4,8,0,0,?
93,4,11,3,0,0,?
36,0,0,0,0,0,?
60,3,3,4,0,0,?
93,4,11,3,0,0,?
36,0,0,0,0,0,?
60,3,3,4,0,0,?
46,3,2,5,0,0,?
34,0,1,0,0,0,?
39,1,1,1,0,0,?
52,3,2,8,0,0,?
186,29,6,83,0,0,?
119,14,5,44,0,0,?
110,7,7,23,0,0,?
64,7,1,7,0,0,?
49,1,1,5,0,0,?
55,2,2,2,0,1,?
56,2,2,2,0,1,?
64,3,4,5,0,1,?
67,0,3,11,0,0,?
39,1,1,1,0,0,?
48,2,2,4,0,0,?
48,2,2,4,0,0,?
62,5,2,9,0,1,?
69,3,1,5,0,2,?
37,1,1,2,0,0,?
28,0,0,0,0,0,?
40,1,2,3,0,0,?
36,1,1,1,0,0,?
39,1,1,2,0,0,?
37,1,1,1,0,0,?
51,2,3,0,0,0,?
76,5,1,8,0,0,?
37,0,1,0,0,0,?
36,0,1,0,0,0,?
36,0,2,0,0,0,?
55,1,3,4,0,1,?
37,0,3,0,0,0,?
61,2,4,6,0,1,?
37,0,1,0,0,0,?
37,0,1,0,0,0,?
39,1,1,1,0,0,?
63,3,1,13,0,0,?
146,7,10,45,0,0,?
78,3,1,28,0,0,?
132,8,11,8,0,0,?
32,0,0,0,0,0,?
45,1,2,0,0,0,?
39,1,1,1,0,0,?
97,5,2,46,0,0,?
63,3,1,5,0,0,?
44,1,2,0,0,0,?
67,2,8,7,0,0,?
70,3,8,1,0,0,?
40,1,1,3,0,0,?
44,1,2,0,0,0,?
44,1,2,0,0,0,?
39,1,1,1,0,0,?
122,12,4,43,0,0,?
78,3,3,27,0,0,?
97,4,7,16,0,0,?
54,3,1,2,0,0,?
110,8,5,7,0,0,?
218,11,11,37,0,2,?
106,4,6,13,0,2,?
131,5,12,0,0,0,?
85,0,9,0,0,0,?
40,1,1,1,0,0,?
43,1,1,3,0,0,?
145,4,7,39,0,0,?
92,2,5,13,0,0,?
106,4,6,9,0,3,?
114,6,6,9,0,3,?
35,1,1,1,0,0,?
170,11,5,27,0,0,?
62,5,1,11,0,0,?
30,0,0,0,0,0,?
63,4,5,0,0,0,?
113,3,5,7,0,2,?
38,1,1,1,0,0,?
65,8,3,17,0,0,?
57,2,1,2,0,0,?
76,4,4,6,0,1,?
37,1,1,0,0,0,?
63,4,4,2,0,0,?
38,1,1,1,0,0,?
77,6,2,26,1,0,?
74,1,1,28,0,0,?
63,2,3,10,0,0,?
33,0,0,0,0,0,?
34,0,0,0,0,0,?
39,1,1,1,0,0,?
50,4,1,7,1,0,?
51,1,1,7,0,0,?
108,3,7,12,0,0,?
37,0,1,0,0,0,?
68,0,3,3,0,0,?
35,0,0,0,0,0,?
38,0,1,1,0,0,?
81,3,6,11,0,0,?
50,4,1,2,0,0,?
67,3,2,3,0,1,?
34,0,2,0,0,0,?
67,1,3,4,0,1,?
67,4,2,4,0,0,?
38,1,1,1,0,0,?
45,3,1,4,1,0,?
50,1,1,11,0,0,?
48,1,1,1,0,0,?
54,1,2,3,0,0,?
132,2,9,8,0,0,?
98,2,5,6,0,0,?
108,8,3,26,0,0,?
53,2,2,7,0,0,?
38,0,1,6,0,0,?
72,4,4,4,0,0,?
34,1,1,1,0,0,?
95,6,5,15,1,1,?
60,2,4,10,0,1,?
42,0,2,5,0,0,?
31,0,1,2,0,0,?
50,1,2,11,0,0,?
32,0,0,0,0,0,?
130,8,6,24,0,0,?
149,11,7,45,0,1,?
41,0,1,2,0,0,?
158,11,6,48,0,3,?
50,1,1,7,0,0,?
41,0,5,0,0,0,?
80,4,6,8,0,2,?
66,1,7,0,0,0,?
39,1,1,1,0,0,?
63,2,3,15,0,0,?
164,14,10,73,0,0,?
69,3,6,3,0,1,?
72,3,7,0,0,1,?
36,0,4,0,0,0,?
86,4,6,5,0,0,?
91,14,6,38,0,0,?
79,7,1,25,0,0,?
61,3,4,12,0,1,?
58,2,3,4,0,0,?
