@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
44,1,3,13,0,0,?
120,17,7,76,0,0,?
45,2,1,9,0,0,?
120,9,10,70,0,0,?
632,71,66,671,1,0,?
96,2,8,38,0,0,?
133,18,8,61,0,0,?
65,5,4,17,0,0,?
93,10,7,37,0,0,?
68,0,3,57,0,0,?
121,17,9,67,0,0,?
63,4,4,20,0,0,?
113,10,9,54,0,0,?
112,2,14,18,0,1,?
196,30,11,133,0,0,?
192,24,16,56,0,0,?
209,31,14,83,0,0,?
80,4,5,54,0,0,?
60,2,4,9,0,0,?
69,5,4,19,0,0,?
75,1,2,13,0,1,?
116,14,8,25,0,1,?
61,5,4,6,0,0,?
119,14,8,29,0,1,?
76,6,5,8,0,0,?
139,17,9,34,0,2,?
180,27,12,52,0,2,?
288,4,26,346,0,0,?
76,4,5,16,0,0,?
75,4,5,16,0,0,?
96,6,7,17,0,1,?
66,5,4,11,0,0,?
53,2,2,12,0,1,?
60,3,2,17,0,2,?
88,3,6,36,0,1,?
89,3,6,36,0,1,?
125,1,13,95,0,0,?
167,1,17,182,0,0,?
129,5,8,46,0,0,?
88,8,7,35,0,0,?
279,13,18,129,0,0,?
92,4,5,16,0,0,?
119,4,9,18,0,0,?
238,17,19,40,0,0,?
225,17,20,48,0,0,?
88,5,5,9,0,0,?
169,17,13,67,0,0,?
66,3,2,12,0,0,?
24,0,0,0,0,0,?
24,0,0,0,0,0,?
21,0,0,0,0,0,?
25,0,1,0,0,0,?
219,9,16,71,0,0,?
128,9,9,25,0,0,?
88,1,4,6,0,0,?
66,1,2,6,0,0,?
166,10,14,28,0,1,?
49,2,1,5,0,0,?
79,3,6,25,0,0,?
265,35,30,213,0,1,?
131,18,9,112,0,1,?
60,5,3,15,0,0,?
111,10,11,51,0,0,?
143,4,10,92,0,0,?
101,17,5,38,0,0,?
102,16,5,50,1,0,?
132,18,7,38,0,0,?
108,9,9,51,0,1,?
199,34,19,84,2,1,?
68,4,3,37,0,0,?
112,9,9,76,0,1,?
87,10,5,31,0,0,?
124,11,8,29,0,1,?
210,28,20,114,0,0,?
45,4,1,5,0,0,?
43,2,3,0,0,0,?
60,2,2,8,0,0,?
97,7,4,21,0,2,?
145,4,7,126,0,0,?
101,3,7,24,0,2,?
63,0,5,17,0,0,?
97,7,9,52,0,0,?
105,7,11,30,0,0,?
79,8,2,17,0,0,?
69,4,5,16,0,0,?
72,4,5,18,0,0,?
176,14,21,96,0,0,?
31,0,1,0,0,0,?
31,0,1,0,0,0,?
50,1,2,6,0,0,?
31,0,1,0,0,0,?
60,1,3,14,0,0,?
58,1,3,14,0,0,?
97,3,7,19,0,1,?
130,6,5,67,1,0,?
44,3,1,7,0,0,?
44,3,1,7,0,0,?
80,3,5,11,0,0,?
44,3,1,7,0,0,?
44,3,1,7,0,0,?
76,2,5,31,0,0,?
79,4,4,38,0,0,?
121,9,7,22,0,3,?
44,2,1,8,0,0,?
85,5,7,15,0,2,?
196,7,20,94,0,0,?
201,15,14,118,0,0,?
35,0,1,3,0,0,?
164,15,18,68,0,0,?
55,5,2,16,0,0,?
328,21,26,219,0,0,?
44,1,1,4,0,0,?
54,5,2,17,0,0,?
138,14,14,53,0,0,?
50,4,2,10,0,0,?
70,8,2,24,0,0,?
531,64,39,369,0,2,?
215,7,21,86,0,1,?
127,17,5,58,0,0,?
50,4,2,10,0,0,?
96,14,5,43,0,0,?
82,15,7,21,0,0,?
98,2,8,32,0,0,?
69,1,6,9,0,0,?
60,1,5,5,0,2,?
61,4,4,21,0,0,?
88,9,8,26,0,0,?
78,11,6,48,0,0,?
110,12,9,42,0,0,?
56,2,4,10,0,0,?
133,23,12,72,0,0,?
83,4,5,22,0,0,?
39,3,0,0,0,0,?
107,3,7,9,0,1,?
183,24,14,55,0,1,?
163,23,14,41,0,0,?
24,0,0,0,0,0,?
20,0,0,0,0,0,?
167,11,14,36,0,0,?
135,8,12,25,0,0,?
94,3,7,36,0,1,?
69,3,3,8,0,1,?
1610,169,141,724,0,6,?
70,8,3,15,0,0,?
44,1,1,11,0,0,?
84,8,6,25,0,0,?
60,6,3,18,0,0,?
80,0,10,30,0,0,?
150,17,11,98,0,0,?
124,13,10,58,0,0,?
70,6,3,29,0,0,?
466,128,37,256,0,0,?
39,1,1,3,0,0,?
56,1,2,8,0,0,?
580,67,59,366,0,0,?
121,14,8,44,0,0,?
142,20,8,92,0,1,?
119,15,7,58,0,0,?
372,60,28,208,0,1,?
98,12,6,36,0,0,?
89,7,5,31,1,0,?
71,6,2,20,0,0,?
202,34,9,110,0,0,?
117,12,7,28,0,0,?
141,21,9,69,0,0,?
504,83,40,295,0,3,?
104,17,5,40,0,0,?
86,8,5,35,0,0,?
91,10,3,29,0,0,?
138,16,9,59,0,0,?
307,28,28,137,0,0,?
177,5,15,32,0,3,?
46,0,2,1,0,0,?
42,2,1,9,0,0,?
248,50,16,168,0,0,?
57,3,3,16,0,0,?
67,4,2,22,0,0,?
399,67,32,246,0,3,?
89,4,9,2,0,0,?
46,1,2,5,0,0,?
55,2,1,3,0,0,?
137,15,11,84,0,0,?
209,24,17,82,0,0,?
222,20,19,133,0,0,?
223,8,19,45,0,0,?
46,0,2,0,0,0,?
511,62,32,388,0,1,?
221,9,18,17,0,0,?
92,5,7,24,0,0,?
133,7,10,36,0,0,?
213,31,16,124,0,0,?
80,3,6,15,0,0,?
95,1,7,11,0,1,?
48,0,3,0,0,0,?
39,0,1,0,0,0,?
20,0,0,0,0,0,?
97,10,5,75,0,0,?
1386,189,114,882,1,11,?
75,10,4,19,0,0,?
82,2,7,15,0,0,?
114,15,8,37,0,1,?
96,6,4,32,0,1,?
174,9,10,45,0,1,?
161,4,15,24,0,0,?
78,4,4,13,0,0,?
207,17,15,102,0,0,?
209,9,19,28,0,0,?
563,86,38,416,0,1,?
67,2,3,12,0,0,?
263,14,18,64,0,0,?
49,0,3,2,0,0,?
37,0,2,2,0,0,?
27,0,0,0,0,0,?
39,0,1,7,0,0,?
69,4,4,20,0,0,?
70,6,2,16,0,0,?
226,21,13,76,0,0,?
71,3,4,5,0,0,?
175,17,8,63,0,0,?
76,7,3,22,0,0,?
71,6,3,17,0,0,?
86,8,4,37,0,0,?
380,47,38,207,0,0,?
24,0,0,0,0,0,?
20,0,0,0,0,0,?
52,2,3,9,0,0,?
147,6,9,11,0,1,?
48,0,2,0,0,0,?
74,3,5,4,0,0,?
100,9,7,10,1,1,?
38,0,2,2,0,0,?
93,1,5,1,0,0,?
51,2,2,4,0,1,?
20,0,0,0,0,0,?
20,0,0,0,0,0,?
199,15,18,23,0,3,?
20,0,0,0,0,0,?
239,26,20,60,0,2,?
70,5,3,2,0,0,?
50,2,3,2,0,0,?
20,0,0,0,0,0,?
67,4,3,11,0,1,?
58,3,2,10,0,0,?
20,0,0,0,0,0,?
20,0,0,0,0,0,?
486,36,32,99,0,17,?
20,0,0,0,0,0,?
82,4,3,12,0,2,?
70,3,4,27,0,1,?
55,2,2,3,0,0,?
52,2,2,4,0,0,?
20,0,0,0,0,0,?
101,6,3,26,0,0,?
61,6,2,11,0,1,?
20,0,0,0,0,0,?
72,3,4,3,0,0,?
83,3,5,11,0,0,?
76,3,6,6,0,0,?
43,0,0,0,0,0,?
44,0,2,0,0,0,?
51,2,2,4,0,0,?
114,9,6,23,0,2,?
48,1,2,2,0,0,?
69,0,0,0,0,0,?
527,53,46,162,0,14,?
68,0,0,0,0,0,?
57,0,0,0,0,0,?
20,0,0,0,0,0,?
42,0,0,0,0,0,?
